name,type1,type2,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Rattata,normal,dark,56.0,35.0,25.0,35.0,72.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Raticate,normal,dark,71.0,70.0,40.0,80.0,77.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spearow,normal,flying,60.0,30.0,31.0,31.0,70.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Fearow,normal,flying,90.0,65.0,61.0,61.0,100.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Raichu,electric,electric,85.0,50.0,95.0,85.0,110.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Sandshrew,ground,ice,75.0,90.0,10.0,35.0,40.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Sandslash,ground,ice,100.0,120.0,25.0,65.0,65.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Nidoqueen,poison,ground,92.0,87.0,75.0,85.0,76.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
Nidoking,poison,ground,102.0,77.0,85.0,75.0,85.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
Vulpix,fire,ice,41.0,40.0,50.0,65.0,65.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Ninetales,fire,ice,67.0,75.0,81.0,100.0,109.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Jigglypuff,normal,fairy,45.0,20.0,45.0,25.0,20.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Wigglytuff,normal,fairy,70.0,45.0,85.0,50.0,45.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Zubat,poison,flying,45.0,35.0,30.0,40.0,55.0,0.25,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Golbat,poison,flying,80.0,70.0,65.0,75.0,90.0,0.25,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Oddish,grass,poison,50.0,55.0,75.0,65.0,30.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Gloom,grass,poison,65.0,70.0,85.0,75.0,40.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Vileplume,grass,poison,80.0,85.0,110.0,90.0,50.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Paras,bug,grass,70.0,55.0,45.0,55.0,25.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Parasect,bug,grass,95.0,80.0,60.0,80.0,30.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Venonat,bug,poison,55.0,50.0,40.0,55.0,45.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Venomoth,bug,poison,65.0,60.0,90.0,75.0,90.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Diglett,ground,ground,55.0,30.0,35.0,45.0,90.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Dugtrio,ground,ground,100.0,60.0,50.0,70.0,110.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Meowth,normal,dark,35.0,35.0,50.0,40.0,90.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Persian,normal,dark,60.0,60.0,75.0,65.0,115.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Poliwrath,water,fighting,95.0,95.0,70.0,90.0,70.0,0.5,0.5,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
Bellsprout,grass,poison,75.0,35.0,70.0,30.0,40.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Weepinbell,grass,poison,90.0,50.0,85.0,45.0,55.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Victreebel,grass,poison,105.0,65.0,100.0,70.0,70.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Tentacool,water,poison,40.0,35.0,50.0,100.0,70.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Tentacruel,water,poison,70.0,65.0,80.0,120.0,100.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Geodude,rock,ground,80.0,100.0,30.0,30.0,20.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Graveler,rock,ground,95.0,115.0,45.0,45.0,35.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Golem,rock,ground,120.0,130.0,55.0,65.0,45.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Slowpoke,water,psychic,65.0,65.0,40.0,40.0,15.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Slowbro,water,psychic,75.0,180.0,130.0,80.0,30.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Magnemite,electric,steel,35.0,70.0,95.0,55.0,45.0,0.5,1.0,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Magneton,electric,steel,60.0,95.0,120.0,70.0,70.0,0.5,1.0,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Farfetch'd,normal,flying,90.0,55.0,58.0,62.0,60.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Doduo,normal,flying,85.0,45.0,35.0,35.0,75.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Dodrio,normal,flying,110.0,70.0,60.0,60.0,110.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Dewgong,water,ice,70.0,80.0,70.0,95.0,70.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Grimer,poison,poison,80.0,50.0,40.0,50.0,25.0,0.5,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Muk,poison,poison,105.0,75.0,65.0,100.0,50.0,0.5,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Cloyster,water,ice,95.0,180.0,85.0,45.0,70.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Gastly,ghost,poison,35.0,30.0,100.0,35.0,80.0,0.25,2.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Haunter,ghost,poison,50.0,45.0,115.0,55.0,95.0,0.25,2.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Gengar,ghost,poison,65.0,80.0,170.0,95.0,130.0,0.25,2.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Onix,rock,ground,45.0,160.0,30.0,45.0,70.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Exeggcute,grass,psychic,40.0,80.0,60.0,45.0,40.0,4.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
Exeggutor,grass,psychic,105.0,85.0,125.0,75.0,45.0,4.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
Marowak,ground,fire,80.0,110.0,50.0,80.0,45.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Rhyhorn,ground,rock,85.0,95.0,30.0,30.0,25.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Rhydon,ground,rock,130.0,120.0,45.0,45.0,40.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Starmie,water,psychic,75.0,85.0,100.0,85.0,115.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Mr. Mime,psychic,fairy,45.0,65.0,100.0,120.0,90.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Scyther,bug,flying,110.0,80.0,55.0,80.0,105.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Jynx,ice,psychic,50.0,35.0,115.0,95.0,95.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
Gyarados,water,flying,155.0,109.0,70.0,130.0,81.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Lapras,water,ice,85.0,80.0,85.0,95.0,60.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Omanyte,rock,water,40.0,100.0,90.0,55.0,35.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Omastar,rock,water,60.0,125.0,115.0,70.0,55.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Kabuto,rock,water,80.0,90.0,55.0,45.0,55.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Kabutops,rock,water,115.0,105.0,65.0,70.0,80.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Aerodactyl,rock,flying,135.0,85.0,70.0,95.0,150.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
Articuno,ice,flying,85.0,100.0,95.0,125.0,85.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
Zapdos,electric,flying,90.0,85.0,125.0,90.0,100.0,0.5,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
Moltres,fire,flying,100.0,90.0,125.0,85.0,90.0,0.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Dragonite,dragon,flying,134.0,95.0,100.0,100.0,80.0,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
Hoothoot,normal,flying,30.0,30.0,36.0,56.0,50.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Noctowl,normal,flying,50.0,50.0,86.0,96.0,70.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Ledyba,bug,flying,20.0,30.0,40.0,80.0,55.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Ledian,bug,flying,35.0,50.0,55.0,110.0,85.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Spinarak,bug,poison,60.0,40.0,40.0,40.0,30.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Ariados,bug,poison,90.0,70.0,60.0,70.0,40.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Crobat,poison,flying,90.0,80.0,70.0,80.0,130.0,0.25,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Chinchou,water,electric,38.0,38.0,56.0,56.0,67.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
Lanturn,water,electric,58.0,58.0,76.0,76.0,67.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
Igglybuff,normal,fairy,30.0,15.0,40.0,20.0,15.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Togetic,fairy,flying,40.0,85.0,80.0,105.0,40.0,0.25,0.5,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Natu,psychic,flying,50.0,45.0,70.0,45.0,70.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Xatu,psychic,flying,75.0,70.0,95.0,70.0,95.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Marill,water,fairy,20.0,50.0,20.0,50.0,40.0,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
Azumarill,water,fairy,50.0,80.0,60.0,80.0,50.0,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
Hoppip,grass,flying,35.0,40.0,35.0,55.0,50.0,1.0,1.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
Skiploom,grass,flying,45.0,50.0,45.0,65.0,80.0,1.0,1.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
Jumpluff,grass,flying,55.0,70.0,55.0,95.0,110.0,1.0,1.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
Yanma,bug,flying,65.0,45.0,75.0,45.0,95.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Wooper,water,ground,45.0,45.0,25.0,25.0,15.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Quagsire,water,ground,85.0,85.0,65.0,65.0,35.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Murkrow,dark,flying,85.0,42.0,85.0,42.0,91.0,1.0,0.5,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
Slowking,water,psychic,75.0,80.0,100.0,110.0,30.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Girafarig,normal,psychic,80.0,65.0,90.0,65.0,85.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Forretress,bug,steel,90.0,140.0,60.0,60.0,40.0,0.5,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
Gligar,ground,flying,75.0,105.0,35.0,65.0,85.0,0.5,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0
Steelix,steel,ground,125.0,230.0,55.0,95.0,30.0,0.5,1.0,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0
Qwilfish,water,poison,95.0,85.0,55.0,55.0,85.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Scizor,bug,steel,150.0,140.0,65.0,100.0,75.0,0.5,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
Shuckle,bug,rock,10.0,230.0,10.0,230.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
Heracross,bug,fighting,185.0,115.0,40.0,105.0,75.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0
Sneasel,dark,ice,95.0,55.0,35.0,75.0,115.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0
Magcargo,fire,rock,50.0,120.0,90.0,80.0,30.0,0.5,1.0,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0
Swinub,ice,ground,50.0,40.0,30.0,30.0,50.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
Piloswine,ice,ground,100.0,80.0,60.0,60.0,50.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
Corsola,water,rock,55.0,95.0,65.0,95.0,35.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Delibird,ice,flying,55.0,45.0,65.0,45.0,75.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
Mantine,water,flying,40.0,70.0,80.0,140.0,70.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Skarmory,steel,flying,80.0,140.0,40.0,70.0,70.0,0.25,1.0,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0
Houndour,dark,fire,60.0,30.0,80.0,50.0,65.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
Houndoom,dark,fire,90.0,90.0,140.0,90.0,115.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
Kingdra,water,dragon,95.0,95.0,95.0,95.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
Smoochum,ice,psychic,30.0,15.0,85.0,65.0,65.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
Larvitar,rock,ground,64.0,50.0,45.0,50.0,41.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Pupitar,rock,ground,84.0,70.0,65.0,70.0,51.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Tyranitar,rock,dark,164.0,150.0,95.0,120.0,71.0,2.0,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0
Lugia,psychic,flying,90.0,130.0,90.0,154.0,110.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Ho-Oh,fire,flying,130.0,90.0,110.0,154.0,90.0,0.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Celebi,psychic,grass,100.0,100.0,100.0,100.0,100.0,4.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
Combusken,fire,fighting,85.0,60.0,85.0,60.0,55.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Blaziken,fire,fighting,160.0,80.0,130.0,80.0,100.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Marshtomp,water,ground,85.0,70.0,60.0,70.0,50.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Swampert,water,ground,150.0,110.0,95.0,110.0,70.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Beautifly,bug,flying,70.0,50.0,100.0,50.0,65.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Dustox,bug,poison,50.0,70.0,50.0,90.0,65.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Lotad,water,grass,30.0,30.0,40.0,50.0,30.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
Lombre,water,grass,50.0,50.0,60.0,70.0,50.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
Ludicolo,water,grass,70.0,70.0,90.0,100.0,70.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
Nuzleaf,grass,dark,70.0,40.0,60.0,40.0,60.0,4.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
Shiftry,grass,dark,100.0,60.0,90.0,60.0,80.0,4.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
Taillow,normal,flying,55.0,30.0,30.0,30.0,85.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Swellow,normal,flying,85.0,60.0,75.0,50.0,125.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Wingull,water,flying,30.0,30.0,55.0,30.0,85.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Pelipper,water,flying,50.0,100.0,95.0,70.0,65.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Ralts,psychic,fairy,25.0,25.0,45.0,35.0,40.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Kirlia,psychic,fairy,35.0,35.0,65.0,55.0,50.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Gardevoir,psychic,fairy,85.0,65.0,165.0,135.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Surskit,bug,water,30.0,32.0,50.0,52.0,65.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5
Masquerain,bug,flying,60.0,62.0,100.0,82.0,80.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Breloom,grass,fighting,130.0,80.0,60.0,60.0,70.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
Nincada,bug,ground,45.0,90.0,30.0,30.0,40.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,2.0
Ninjask,bug,flying,90.0,45.0,50.0,50.0,160.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Shedinja,bug,ghost,90.0,45.0,30.0,30.0,40.0,0.5,2.0,2.0,0.5,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0
Azurill,normal,fairy,20.0,40.0,20.0,40.0,20.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Sableye,dark,ghost,85.0,125.0,85.0,115.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0
Mawile,steel,fairy,105.0,125.0,55.0,95.0,50.0,0.25,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0
Aron,steel,rock,70.0,100.0,40.0,40.0,30.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Lairon,steel,rock,90.0,140.0,50.0,50.0,40.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Aggron,steel,rock,140.0,230.0,60.0,80.0,50.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Meditite,fighting,psychic,40.0,55.0,40.0,55.0,60.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Medicham,fighting,psychic,100.0,85.0,80.0,85.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Roselia,grass,poison,60.0,45.0,100.0,80.0,65.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Carvanha,water,dark,90.0,20.0,65.0,20.0,65.0,2.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
Sharpedo,water,dark,140.0,70.0,110.0,65.0,105.0,2.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
Numel,fire,ground,60.0,40.0,65.0,45.0,35.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
Camerupt,fire,ground,120.0,100.0,145.0,105.0,20.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
Vibrava,ground,dragon,70.0,50.0,50.0,50.0,70.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
Flygon,ground,dragon,100.0,80.0,80.0,80.0,100.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
Cacturne,grass,dark,115.0,60.0,115.0,60.0,55.0,4.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
Swablu,normal,flying,40.0,60.0,40.0,75.0,50.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Altaria,dragon,flying,110.0,110.0,110.0,105.0,80.0,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
Lunatone,rock,psychic,55.0,65.0,95.0,85.0,70.0,2.0,2.0,2.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,2.0
